process_id,gen_num,gen_index,individual,fitness,run,robot,
0,0,0,1,0.236855873,1,babya,0.789519578
0,0,1,2,0.6091683,1,babya,2.030560999
0,0,2,3,0.267072573,1,babya,0.890241909
0,0,3,4,0.391971367,1,babya,1.306571222
0,0,4,5,0.902951467,1,babya,3.009838223
0,0,5,6,0.36907572,1,babya,1.230252399
0,0,6,7,1.091006242,1,babya,3.636687472
0,0,7,8,0.087823295,1,babya,0.292744318
0,0,8,9,0.480340709,1,babya,1.601135697
0,0,9,10,0.619782585,1,babya,2.065941951
0,1,0,21,0.236855873,1,babya,0.789519578
0,1,1,22,0.6091683,1,babya,2.030560999
0,1,2,23,0.267072573,1,babya,0.890241909
0,1,3,24,0.391971367,1,babya,1.306571222
0,1,4,25,0.902951467,1,babya,3.009838223
0,1,5,26,0.36907572,1,babya,1.230252399
0,1,6,27,1.091006242,1,babya,3.636687472
0,1,7,28,0.087823295,1,babya,0.292744318
0,1,8,29,0.480340709,1,babya,1.601135697
0,1,9,30,0.619782585,1,babya,2.065941951
0,1,10,31,0.788007834,1,babya,2.626692781
0,1,11,32,0.791178134,1,babya,2.637260446
0,1,12,33,1.497548198,1,babya,4.991827325
0,1,13,34,0.128715816,1,babya,0.42905272
0,1,14,35,0.753585294,1,babya,2.51195098
0,1,15,36,0.36907572,1,babya,1.230252399
0,1,16,37,0.065126749,1,babya,0.217089164
0,1,17,38,0.049341159,1,babya,0.164470531
0,1,18,39,0.171330374,1,babya,0.571101246
0,1,19,40,0.190165531,1,babya,0.633885105
0,1,20,41,1.431737197,1,babya,4.772457324
0,1,21,42,1.162223889,1,babya,3.874079629
0,1,22,43,1.020941334,1,babya,3.40313778
0,1,23,44,0.680105785,1,babya,2.267019284
0,1,24,45,0.870172938,1,babya,2.90057646
0,1,25,46,0.36907572,1,babya,1.230252399
0,1,26,47,0.330446118,1,babya,1.101487061
0,1,27,48,0.946461285,1,babya,3.154870949
0,1,28,49,0.556231085,1,babya,1.854103616
0,1,29,50,0.6115892,1,babya,2.038630665
0,2,0,61,0.902951467,1,babya,3.009838223
0,2,1,62,0.946461285,1,babya,3.154870949
0,2,2,63,1.020941334,1,babya,3.40313778
0,2,3,64,1.091006242,1,babya,3.636687472
0,2,4,65,1.162223889,1,babya,3.874079629
0,2,5,66,1.200421167,1,babya,4.001403889
0,2,6,67,1.242640163,1,babya,4.142133877
0,2,7,68,1.431737197,1,babya,4.772457324
0,2,8,69,1.497548198,1,babya,4.991827325
0,2,9,70,1.682009051,1,babya,5.606696838
0,2,10,71,0.492435449,1,babya,1.641451497
0,2,11,72,0.240378917,1,babya,0.801263056
0,2,12,73,0.503905945,1,babya,1.679686483
0,2,13,74,0.376224503,1,babya,1.254081675
0,2,14,75,2.080805223,1,babya,6.936017411
0,2,15,76,1.544052171,1,babya,5.146840571
0,2,16,77,1.242640163,1,babya,4.142133877
0,2,17,78,1.291792285,1,babya,4.305974283
0,2,18,79,1.852148454,1,babya,6.173828182
0,2,19,80,1.372903229,1,babya,4.576344098
0,2,20,81,0.449385771,1,babya,1.497952569
0,2,21,82,1.157136239,1,babya,3.857120798
0,2,22,83,0.831148259,1,babya,2.770494198
0,2,23,84,0.940800369,1,babya,3.136001231
0,2,24,85,1.117895555,1,babya,3.726318518
0,2,25,86,1.49687642,1,babya,4.989588067
0,2,26,87,1.170298821,1,babya,3.900996069
0,2,27,88,0.862280539,1,babya,2.874268464
0,2,28,89,0.721979007,1,babya,2.406596689
0,2,29,90,0.561169569,1,babya,1.870565229
0,3,0,101,1.431737197,1,babya,4.772457324
0,3,1,102,1.49687642,1,babya,4.989588067
0,3,2,103,1.497548198,1,babya,4.991827325
0,3,3,104,1.544052171,1,babya,5.146840571
0,3,4,105,1.649741763,1,babya,5.49913921
0,3,5,106,1.682009051,1,babya,5.606696838
0,3,6,107,1.852148454,1,babya,6.173828182
0,3,7,108,2.080805223,1,babya,6.936017411
0,3,8,109,2.177460606,1,babya,7.258202019
0,3,9,110,2.21279562,1,babya,7.3759854
0,3,10,111,0.616309586,1,babya,2.054365285
0,3,11,112,1.11020808,1,babya,3.700693599
0,3,12,113,0.305136405,1,babya,1.017121351
0,3,13,114,1.287066448,1,babya,4.290221492
0,3,14,115,2.402145341,1,babya,8.007151136
0,3,15,116,0.84991082,1,babya,2.833036068
0,3,16,117,1.852148454,1,babya,6.173828182
0,3,17,118,1.752330857,1,babya,5.841102857
0,3,18,119,0.793591381,1,babya,2.645304603
0,3,19,120,0.272421807,1,babya,0.908072692
0,3,20,121,0.949030426,1,babya,3.163434752
0,3,21,122,0.391638485,1,babya,1.305461617
0,3,22,123,0.856502261,1,babya,2.855007537
0,3,23,124,0.387520967,1,babya,1.291736557
0,3,24,125,0.086206727,1,babya,0.287355755
0,3,25,126,0.241424126,1,babya,0.804747087
0,3,26,127,0.440193286,1,babya,1.467310954
0,3,27,128,2.181596631,1,babya,7.27198877
0,3,28,129,1.047225415,1,babya,3.490751385
0,3,29,130,0.82700627,1,babya,2.756687568
0,4,0,141,1.649741763,1,babya,5.49913921
0,4,1,142,1.682009051,1,babya,5.606696838
0,4,2,143,1.752330857,1,babya,5.841102857
0,4,3,144,1.852148454,1,babya,6.173828182
0,4,4,145,1.852148454,1,babya,6.173828182
0,4,5,146,2.080805223,1,babya,6.936017411
0,4,6,147,2.177460606,1,babya,7.258202019
0,4,7,148,2.181596631,1,babya,7.27198877
0,4,8,149,2.21279562,1,babya,7.3759854
0,4,9,150,2.402145341,1,babya,8.007151136
0,4,10,151,0.965401842,1,babya,3.218006139
0,4,11,152,0.802846007,1,babya,2.676153357
0,4,12,153,1.154619651,1,babya,3.848732169
0,4,13,154,1.234261238,1,babya,4.114204128
0,4,14,155,0.5837231,1,babya,1.945743668
0,4,15,156,2.006329422,1,babya,6.687764741
0,4,16,157,1.503198583,1,babya,5.010661945
0,4,17,158,0.461123112,1,babya,1.537077041
0,4,18,159,0.899155255,1,babya,2.997184182
0,4,19,160,0.555581944,1,babya,1.851939813
0,4,20,161,0.470757732,1,babya,1.569192442
0,4,21,162,0.750024888,1,babya,2.50008296
0,4,22,163,0.067104132,1,babya,0.223680441
0,4,23,164,0.567204747,1,babya,1.89068249
0,4,24,165,0.740050545,1,babya,2.46683515
0,4,25,166,1.441343919,1,babya,4.804479729
0,4,26,167,2.040617707,1,babya,6.802059025
0,4,27,168,1.423796584,1,babya,4.745988613
0,4,28,169,0.50977197,1,babya,1.699239899
0,4,29,170,0.199185082,1,babya,0.663950275
0,5,0,181,1.852148454,1,babya,6.173828182
0,5,1,182,2.006329422,1,babya,6.687764741
0,5,2,183,2.040617707,1,babya,6.802059025
0,5,3,184,2.080805223,1,babya,6.936017411
0,5,4,185,2.177460606,1,babya,7.258202019
0,5,5,186,2.181596631,1,babya,7.27198877
0,5,6,187,2.21279562,1,babya,7.3759854
0,5,7,188,2.306149759,1,babya,7.687165865
0,5,8,189,2.402145341,1,babya,8.007151136
0,5,9,190,2.414640052,1,babya,8.048800173
0,5,10,191,1.852148454,1,babya,6.173828182
0,5,11,192,1.813709178,1,babya,6.045697261
0,5,12,193,0.37894612,1,babya,1.263153734
0,5,13,194,1.65921861,1,babya,5.5307287
0,5,14,195,0.995121793,1,babya,3.317072645
0,5,15,196,0.761961465,1,babya,2.53987155
0,5,16,197,0.046348413,1,babya,0.154494709
0,5,17,198,0.98369336,1,babya,3.278977865
0,5,18,199,1.348187312,1,babya,4.493957705
0,5,19,200,0.384276797,1,babya,1.280922658
0,5,20,201,0.355898749,1,babya,1.186329164
0,5,21,202,1.13511472,1,babya,3.783715733
