mean_rew,mean_val
0.0023229639045894146,-0.022321410477161407
0.00224097678437829,0.5378355979919434
0.002598521998152137,0.6460185647010803
0.0021832415368407965,0.5883595943450928
0.002484389115124941,0.4542340636253357
0.0024514421820640564,0.5600526332855225
0.0026803130749613047,0.5428261160850525
0.002195655135437846,0.5070033073425293
0.002132423920556903,0.5072842836380005
0.0030676196329295635,0.563544511795044
0.002411147579550743,0.6106705069541931
0.003672835184261203,0.5794631242752075
0.0033360724337399006,0.6456589698791504
0.0028897468000650406,0.597565233707428
0.00305517902597785,0.5549924969673157
0.003000866621732712,0.6403340101242065
0.0032069243025034666,0.6206303238868713
0.0027596713043749332,0.519716203212738
0.0029610958881676197,0.48808497190475464
0.003980516921728849,0.5553815364837646
0.003931235522031784,0.5552933216094971
0.004218054469674826,0.5405617356300354
0.002939945552498102,0.5351837873458862
0.002940400969237089,0.5389330983161926
0.0036994207184761763,0.5080710649490356
0.0037278763484209776,0.5237830281257629
0.0042470600455999374,0.5408693552017212
0.00511587830260396,0.5414473414421082
