process_id,gen_num,gen_index,individual,fitness
0,1,0,1,0.5985901107275351
0,1,1,2,0.6068125018595771
0,1,2,3,0.6392146831704555
0,1,3,4,0.7284978194649109
0,1,4,5,0.7284978194649276
0,1,5,6,0.7496146752931593
0,1,6,7,0.8221756441654101
0,1,7,8,0.8577607355078521
0,1,8,9,0.9742422553600685
0,1,9,10,1.052119298275102
0,2,0,11,0.7496146752931593
0,2,1,12,0.8221756441654101
0,2,2,13,0.8577607355078521
0,2,3,14,0.9742422553600685
0,2,4,15,1.0082654412009444
0,2,5,16,1.0261545327596346
0,2,6,17,1.052119298275102
0,2,7,18,1.148761537444083
0,2,8,19,1.3044987729472532
0,2,9,20,1.7908476803882767
0,3,0,21,0.9742422553600685
0,3,1,22,1.0082654412009444
0,3,2,23,1.0261545327596346
0,3,3,24,1.052119298275102
0,3,4,25,1.148761537444083
0,3,5,26,1.257260696626407
0,3,6,27,1.3044987729472532
0,3,7,28,1.7908476803882767
0,3,8,29,1.7908476803901505
0,3,9,30,1.8375926707749457
0,4,0,31,1.0988839101359225
0,4,1,32,1.1053023964119246
0,4,2,33,1.148761537444083
0,4,3,34,1.257260696626407
0,4,4,35,1.2728943736087621
0,4,5,36,1.2908547034204336
0,4,6,37,1.3044987729472532
0,4,7,38,1.7908476803882767
0,4,8,39,1.7908476803901505
0,4,9,40,1.8375926707749457
0,5,0,41,1.2728943736087621
0,5,1,42,1.2908547034204336
0,5,2,43,1.3044987729472532
0,5,3,44,1.3980755882742955
0,5,4,45,1.5464146676929427
0,5,5,46,1.6107127447030258
0,5,6,47,1.7908476803882767
0,5,7,48,1.7908476803901505
0,5,8,49,1.8090595267745453
0,5,9,50,1.8375926707749457
0,6,0,51,1.5464146676929427
0,6,1,52,1.6107127447030258
0,6,2,53,1.7908476803882132
0,6,3,54,1.7908476803882767
0,6,4,55,1.7908476803901505
0,6,5,56,1.7908476803901505
0,6,6,57,1.790847680391734
0,6,7,58,1.8090595267745453
0,6,8,59,1.8160029473321369
0,6,9,60,1.8375926707749457
0,7,0,61,1.7908476803882767
0,7,1,62,1.7908476803901505
0,7,2,63,1.7908476803901505
0,7,3,64,1.790847680391734
0,7,4,65,1.7908476803945288
0,7,5,66,1.8090595267745453
0,7,6,67,1.8160029473321369
0,7,7,68,1.8375926703469427
0,7,8,69,1.8375926707749457
0,7,9,70,1.8678097338685282
0,8,0,71,1.7908476803945288
0,8,1,72,1.7908476803959654
0,8,2,73,1.8090595267745453
0,8,3,74,1.8160029473321369
0,8,4,75,1.8375926703469427
0,8,5,76,1.8375926703469427
0,8,6,77,1.8375926707749457
0,8,7,78,1.8631888096986657
0,8,8,79,1.8678097338685282
0,8,9,80,2.3509106275166687
0,9,0,81,1.8090595267745453
0,9,1,82,1.8160029473321369
0,9,2,83,1.8375926703469427
0,9,3,84,1.8375926703469427
0,9,4,85,1.8375926707749457
0,9,5,86,1.8631888096986657
0,9,6,87,1.8678097338685282
0,9,7,88,1.871385456915571
0,9,8,89,2.1074260297762826
0,9,9,90,2.3509106275166687
0,10,0,91,1.8375926707749457
0,10,1,92,1.8631888096986657
0,10,2,93,1.8678097338685282
0,10,3,94,1.871385456915571
0,10,4,95,1.8911817977470329
0,10,5,96,2.1074260297762826
0,10,6,97,2.144617103719217
0,10,7,98,2.1702788660714862
0,10,8,99,2.3147955601413828
0,10,9,100,2.3509106275166687
